target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
AQUARIUS-DIRR,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o004_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o004_t004_nircam_clear-f150w_i2d.fits,jw04783-o004_t004_nircam_clear-f090w,jw04783-o004_t004_nircam_clear-f150w
CETUS-DSPH,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o007_t007_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o007_t007_nircam_clear-f150w_i2d.fits,jw04783-o007_t007_nircam_clear-f090w,jw04783-o007_t007_nircam_clear-f150w
Colliding-galaxy-CTR,6556,Galaxy; Interacting galaxies; Irregular galaxies,"Garcia Marin, Macarena",Dust distribution in a colliding galaxy system,mast:JWST/product/jw06556-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06556-o001_t001_nircam_clear-f150w_i2d.fits,jw06556-o001_t001_nircam_clear-f090w,jw06556-o001_t001_nircam_clear-f150w
DRACO-II,1334,Galaxy; Dwarf galaxies; Dwarf spheroidal galaxies,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,mast:JWST/product/jw01334-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01334-o003_t003_nircam_clear-f150w_i2d.fits,jw01334-o003_t003_nircam_clear-f090w,jw01334-o003_t003_nircam_clear-f150w
IC-1613,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o008_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o008_t008_nircam_clear-f150w_i2d.fits,jw04783-o008_t008_nircam_clear-f090w,jw04783-o008_t008_nircam_clear-f150w
IC-4553,2739,Galaxy; Ultraluminous infrared galaxies,"Pontoppidan, Klaus M.",JWST Cycle 1 Outreach Campaign,mast:JWST/product/jw02739-o007_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02739-o007_t005_nircam_clear-f150w_i2d.fits,jw02739-o007_t005_nircam_clear-f090w,jw02739-o007_t005_nircam_clear-f150w
Interacting_Galaxy_Pair_NIRCam,6564,Galaxy; Interacting galaxies; Irregular galaxies; Tidal tails,"Garcia Marin, Macarena",Imaging of Interacting Galaxies,mast:JWST/product/jw06564-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06564-o002_t002_nircam_clear-f150w_i2d.fits,jw06564-o002_t002_nircam_clear-f090w,jw06564-o002_t002_nircam_clear-f150w
LEO-A,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o006_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o006_t006_nircam_clear-f150w_i2d.fits,jw04783-o006_t006_nircam_clear-f090w,jw04783-o006_t006_nircam_clear-f150w
LEO-P,1617,Galaxy; Dwarf irregular galaxies; Field galaxies,"McQuinn, Kristen B W","The Boundary of Galaxy Formation: Constraints from the Ancient Star Formation of the Isolated, Extremely Low-Mass Galaxy Leo P",mast:JWST/product/jw01617-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01617-o001_t001_nircam_clear-f150w_i2d.fits,jw01617-o001_t001_nircam_clear-f090w,jw01617-o001_t001_nircam_clear-f150w
M-81,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o003_t003_nircam_clear-f150w_i2d.fits,jw01638-o003_t003_nircam_clear-f090w,jw01638-o003_t003_nircam_clear-f150w
M101-H681,3429,ISM; H II regions,"Clark, Christopher",One-Stop Shopping: Pan-Metallicity PAH Benchmarking in M101,mast:JWST/product/jw03429-o014_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03429-o014_t006_nircam_clear-f150w_i2d.fits,jw03429-o014_t006_nircam_clear-f090w,jw03429-o014_t006_nircam_clear-f150w
M92,1334,Stellar Cluster; Globular star clusters,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,mast:JWST/product/jw01334-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01334-o001_t001_nircam_clear-f150w_i2d.fits,jw01334-o001_t001_nircam_clear-f090w,jw01334-o001_t001_nircam_clear-f150w
MESSIER-049,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,jw03055-o006_t006_nircam_clear-f090w,jw03055-o006_t006_nircam_clear-f150w
MESSIER-059,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o009_t009_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o009_t009_nircam_clear-f150w_i2d.fits,jw03055-o009_t009_nircam_clear-f090w,jw03055-o009_t009_nircam_clear-f150w
MESSIER-060,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o010_t010_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,jw03055-o010_t010_nircam_clear-f090w,jw03055-o010_t010_nircam_clear-f150w
MESSIER-084,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o004_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,jw03055-o004_t004_nircam_clear-f090w,jw03055-o004_t004_nircam_clear-f150w
MESSIER-086,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o005_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o005_t005_nircam_clear-f150w_i2d.fits,jw03055-o005_t005_nircam_clear-f090w,jw03055-o005_t005_nircam_clear-f150w
MESSIER-087,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,jw03055-o007_t007_nircam_clear-f090w,jw03055-o007_t007_nircam_clear-f150w
MESSIER-089,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o008_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,jw03055-o008_t008_nircam_clear-f090w,jw03055-o008_t008_nircam_clear-f150w
MESSIER-105,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o013_t013_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o013_t013_nircam_clear-f150w_i2d.fits,jw03055-o013_t013_nircam_clear-f090w,jw03055-o013_t013_nircam_clear-f150w
N1559,1685,Galaxy; Galaxy disks; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f150w_i2d.fits,jw01685-o001_t001_nircam_clear-f090w;jw01685-o002_t001_nircam_clear-f090w,jw01685-o001_t001_nircam_clear-f150w;jw01685-o002_t001_nircam_clear-f150w
N4258,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o005_t003_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o005_t003_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f150w_i2d.fits,jw01685-o005_t003_nircam_clear-f090w;jw01685-o006_t003_nircam_clear-f090w,jw01685-o005_t003_nircam_clear-f150w;jw01685-o006_t003_nircam_clear-f150w
N5468,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o007_t004_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o008_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o007_t004_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o008_t004_nircam_clear-f150w_i2d.fits,jw01685-o007_t004_nircam_clear-f090w;jw01685-o008_t004_nircam_clear-f090w,jw01685-o007_t004_nircam_clear-f150w;jw01685-o008_t004_nircam_clear-f150w
N5584,1685,Galaxy; Spiral arms,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o009_t005_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o010_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o009_t005_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o010_t005_nircam_clear-f150w_i2d.fits,jw01685-o009_t005_nircam_clear-f090w;jw01685-o010_t005_nircam_clear-f090w,jw01685-o009_t005_nircam_clear-f150w;jw01685-o010_t005_nircam_clear-f150w
N5643,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o011_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f150w_i2d.fits,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w
NAME-CARTWHEEL,2727,Galaxy; Interacting galaxies,"Pontoppidan, Klaus M.",JWST Early Release Observation 1,mast:JWST/product/jw02727-o002_t062_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02727-o002_t062_nircam_clear-f150w_i2d.fits,jw02727-o002_t062_nircam_clear-f090w,jw02727-o002_t062_nircam_clear-f150w
NGC-1380,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,jw03055-o001_t001_nircam_clear-f090w,jw03055-o001_t001_nircam_clear-f150w
NGC-1399,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,jw03055-o002_t002_nircam_clear-f090w,jw03055-o002_t002_nircam_clear-f150w
NGC-1404,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,jw03055-o003_t003_nircam_clear-f090w,jw03055-o003_t003_nircam_clear-f150w
NGC-1448,1685,Galaxy; Field galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o013_t008_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o014_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o013_t008_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o014_t008_nircam_clear-f150w_i2d.fits,jw01685-o013_t008_nircam_clear-f090w;jw01685-o014_t008_nircam_clear-f090w,jw01685-o013_t008_nircam_clear-f150w;jw01685-o014_t008_nircam_clear-f150w
NGC-147,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o001_t001_nircam_clear-f150w_i2d.fits,jw04783-o001_t001_nircam_clear-f090w,jw04783-o001_t001_nircam_clear-f150w
NGC-1549,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o012_t012_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o012_t012_nircam_clear-f150w_i2d.fits,jw03055-o012_t012_nircam_clear-f090w,jw03055-o012_t012_nircam_clear-f150w
NGC-185,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o002_t002_nircam_clear-f150w_i2d.fits,jw04783-o002_t002_nircam_clear-f090w,jw04783-o002_t002_nircam_clear-f150w
NGC-205,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,jw04783-o003_t003_nircam_clear-f090w,jw04783-o003_t003_nircam_clear-f150w
NGC-2403,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o001_t001_nircam_clear-f150w_i2d.fits,jw01638-o001_t001_nircam_clear-f090w,jw01638-o001_t001_nircam_clear-f150w
NGC-2525,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw02875-o013_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw02875-o013_t001_nircam_clear-f150w_i2d.fits,jw02875-o001_t001_nircam_clear-f090w;jw02875-o013_t001_nircam_clear-f090w,jw02875-o001_t001_nircam_clear-f150w;jw02875-o013_t001_nircam_clear-f150w
NGC-253,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o004_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o004_t004_nircam_clear-f150w_i2d.fits,jw01638-o004_t004_nircam_clear-f090w,jw01638-o004_t004_nircam_clear-f150w
NGC-300,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,mast:JWST/product/jw01638-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01638-o002_t002_nircam_clear-f150w_i2d.fits,jw01638-o002_t002_nircam_clear-f090w,jw01638-o002_t002_nircam_clear-f150w
NGC-3147,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o003_t003_nircam_clear-f150w_i2d.fits,jw02875-o003_t003_nircam_clear-f090w,jw02875-o003_t003_nircam_clear-f150w
NGC-3370,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o002_t007_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o002_t007_nircam_clear-f150w_i2d.fits,jw02875-o002_t007_nircam_clear-f090w,jw02875-o002_t007_nircam_clear-f150w
NGC-3447,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o012_t009_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o012_t009_nircam_clear-f150w_i2d.fits,jw02875-o012_t009_nircam_clear-f090w,jw02875-o012_t009_nircam_clear-f150w
NGC-346-TILE-6,1227,Stellar Cluster; OB associations; Stellar associations; Young star clusters,"Meixner, Margaret",NGC 346: Star Formation at Low Metallicity in the Small Magellanic Cloud,mast:JWST/product/jw01227-o017_t018_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01227-o017_t018_nircam_clear-f150w_i2d.fits,jw01227-o017_t018_nircam_clear-f090w,jw01227-o017_t018_nircam_clear-f150w
NGC-4258,2875,Galaxy; Field galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o010_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02875-o010_t008_nircam_clear-f150w_i2d.fits,jw02875-o010_t008_nircam_clear-f090w,jw02875-o010_t008_nircam_clear-f150w
NGC-4636,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o014_t014_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,jw03055-o014_t014_nircam_clear-f090w,jw03055-o014_t014_nircam_clear-f150w
NGC-4697,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o011_t011_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,jw03055-o011_t011_nircam_clear-f090w,jw03055-o011_t011_nircam_clear-f150w
