target_name,target_norm,candidate_class,proposal_id,target_classification,proposal_pi,obs_title,obsids_F150W,obsids_F090W
NGC-147,NGC-147,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o001_t001_nircam_clear-f150w,jw04783-o001_t001_nircam_clear-f090w
NGC-185,NGC-185,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o002_t002_nircam_clear-f150w,jw04783-o002_t002_nircam_clear-f090w
NGC-205,NGC-205,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w
AQUARIUS-DIRR,AQUARIUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o004_t004_nircam_clear-f150w,jw04783-o004_t004_nircam_clear-f090w
CETUS-DSPH,CETUS-DSPH,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o007_t007_nircam_clear-f150w,jw04783-o007_t007_nircam_clear-f090w
DRACO-II,DRACO-II,local_group_dwarf_or_dwarf_spheroidal,1334,Galaxy; Dwarf galaxies; Dwarf spheroidal galaxies,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,jw01334-o003_t003_nircam_clear-f150w,jw01334-o003_t003_nircam_clear-f090w
IC-1613,IC-1613,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o008_t008_nircam_clear-f150w,jw04783-o008_t008_nircam_clear-f090w
LEO-A,LEO-A,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o006_t006_nircam_clear-f150w,jw04783-o006_t006_nircam_clear-f090w
PEGASUS-DIRR,PEGASUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o005_t005_nircam_clear-f150w,jw04783-o005_t005_nircam_clear-f090w
Pegasus-W,PEGASUS-W,local_group_dwarf_or_dwarf_spheroidal,7119,Galaxy; Dwarf galaxies,"Sand, David J.",Does Reionization Quench All Ultra-faint Dwarf Galaxies? The Ancient Star Formation History of Pegasus W,jw07119-o001_t001_nircam_clear-f150w,jw07119-o001_t001_nircam_clear-f090w
TUCANAB,TUCANAB,local_group_dwarf_or_dwarf_spheroidal,4748,Galaxy; Dwarf spheroidal galaxies,"Sand, David J.","The Ancient Star Formation History of the Isolated, Quenched Ultra-faint Dwarf Galaxy Tucana B",jw04748-o001_t001_nircam_clear-f150w,jw04748-o001_t001_nircam_clear-f090w
LEO-P,LEO-P,spiral_or_distance_ladder_anchor,1617,Galaxy; Dwarf irregular galaxies; Field galaxies,"McQuinn, Kristen B W","The Boundary of Galaxy Formation: Constraints from the Ancient Star Formation of the Isolated, Extremely Low-Mass Galaxy Leo P",jw01617-o001_t001_nircam_clear-f150w,jw01617-o001_t001_nircam_clear-f090w
M-81,M-81,spiral_or_distance_ladder_anchor,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,jw01638-o003_t003_nircam_clear-f150w,jw01638-o003_t003_nircam_clear-f090w
NGC-1448,NGC-1448,spiral_or_distance_ladder_anchor,1685,Galaxy; Field galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o013_t008_nircam_clear-f150w;jw01685-o014_t008_nircam_clear-f150w,jw01685-o013_t008_nircam_clear-f090w;jw01685-o014_t008_nircam_clear-f090w
N1559,NGC-1559,spiral_or_distance_ladder_anchor,1685,Galaxy; Galaxy disks; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o001_t001_nircam_clear-f150w;jw01685-o002_t001_nircam_clear-f150w,jw01685-o001_t001_nircam_clear-f090w;jw01685-o002_t001_nircam_clear-f090w
NGC-2403,NGC-2403,spiral_or_distance_ladder_anchor,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,jw01638-o001_t001_nircam_clear-f150w,jw01638-o001_t001_nircam_clear-f090w
NGC-2525,NGC-2525,spiral_or_distance_ladder_anchor,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o001_t001_nircam_clear-f150w;jw02875-o013_t001_nircam_clear-f150w,jw02875-o001_t001_nircam_clear-f090w;jw02875-o013_t001_nircam_clear-f090w
NGC-253,NGC-253,spiral_or_distance_ladder_anchor,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,jw01638-o004_t004_nircam_clear-f150w,jw01638-o004_t004_nircam_clear-f090w
NGC-300,NGC-300,spiral_or_distance_ladder_anchor,1638,Galaxy; Galaxy halos; Spiral galaxies,"McQuinn, Kristen B W",Securing the TRGB Distance Indicator: A Pre-Requisite for a JWST Measurement of H_0,jw01638-o002_t002_nircam_clear-f150w,jw01638-o002_t002_nircam_clear-f090w
NGC-3147,NGC-3147,spiral_or_distance_ladder_anchor,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o003_t003_nircam_clear-f150w,jw02875-o003_t003_nircam_clear-f090w
NGC-3370,NGC-3370,spiral_or_distance_ladder_anchor,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o002_t007_nircam_clear-f150w,jw02875-o002_t007_nircam_clear-f090w
NGC-3447,NGC-3447,spiral_or_distance_ladder_anchor,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o012_t009_nircam_clear-f150w,jw02875-o012_t009_nircam_clear-f090w
N4258,NGC-4258,spiral_or_distance_ladder_anchor,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o005_t003_nircam_clear-f150w;jw01685-o006_t003_nircam_clear-f150w,jw01685-o005_t003_nircam_clear-f090w;jw01685-o006_t003_nircam_clear-f090w
NGC-4258,NGC-4258,spiral_or_distance_ladder_anchor,2875,Galaxy; Field galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o010_t008_nircam_clear-f150w,jw02875-o010_t008_nircam_clear-f090w
N5468,NGC-5468,spiral_or_distance_ladder_anchor,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o007_t004_nircam_clear-f150w;jw01685-o008_t004_nircam_clear-f150w,jw01685-o007_t004_nircam_clear-f090w;jw01685-o008_t004_nircam_clear-f090w
N5584,NGC-5584,spiral_or_distance_ladder_anchor,1685,Galaxy; Spiral arms,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o009_t005_nircam_clear-f150w;jw01685-o010_t005_nircam_clear-f150w,jw01685-o009_t005_nircam_clear-f090w;jw01685-o010_t005_nircam_clear-f090w
N5643,NGC-5643,spiral_or_distance_ladder_anchor,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w
NGC-5861,NGC-5861,spiral_or_distance_ladder_anchor,2875,Galaxy; Spiral galaxies,"Riess, Adam","Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",jw02875-o014_t006_nircam_clear-f150w,jw02875-o014_t006_nircam_clear-f090w
WFC3-ERS-FIELD,WFC3-ERS-FIELD,spiral_or_distance_ladder_anchor,1176,Galaxy; Field galaxies; High-redshift galaxies; Lyman-break galaxies,"Windhorst, Rogier A.",JWST Medium-Deep Fields -- Windhorst IDS GTO Program,jw01176-o131_t016_nircam_clear-f150w,jw01176-o131_t016_nircam_clear-f090w
VV-191,VV-191,strict_early_type,1176,Galaxy; Elliptical galaxies; Spiral arms; Spiral galaxies,"Windhorst, Rogier A.",JWST Medium-Deep Fields -- Windhorst IDS GTO Program,jw01176-o341_t005_nircam_clear-f150w,jw01176-o341_t005_nircam_clear-f090w
