galaxy,mbar_150,kmin,kmax,sigma_Pk_current_sqrt_1_over_sumw,sigma_Pk_jensen_weighted_annuli,sigma_inner_used_for_weights,sigma_outer_used_for_weights,weight_inner,weight_outer,Pr_over_P0_inner,Pr_over_P0_outer,sigma_Pr_inner_proxy,sigma_Pr_outer_proxy,sigma_Pr_proxy_weighted,Pr_fractional_error_assumed,sigma_bkg_inner,sigma_bkg_outer,sigma_bkg_mag,sigma_bkg_status,bkg_delta_image_units,bkg_delta_note,Imean_inner,Imean_outer,sigma_PSF_mag,sigma_PSF_status,psf_branch_file,psf_branch_ref,psf_branch_alt_count,psf_branch_alt_diffs,sigma_ext_mag,sigma_ext_status,sigma_jensen_like_fast,sigma_jensen_like_fast_with_current_pk_combine,missing_components,formula_used,sigma_rad_diagnostic_half_inner_outer,sigma_adopted_old_conservative,log_exists,iso_dataset,psf_extension,bkg_check_med,bkg_check_mean,bkg_check_std,bkg_check_n,warnings
NGC 1380,27.887066663992847,0.04,0.25,0.026132596437885916,0.03695698612953421,0.036877521606786354,0.0370371400398758,735.3202864746688,728.9959452071643,0.013254307270894591,0.034694935630298136,0.003645995462416955,0.009755866079539299,0.006687736589951192,0.25,0.00021055633140957983,0.0005705398489904892,0.00038977071077658733,auto_from_median_bkg_check_and_Imean_included,0.002838,abs(BKG-CHECK median),14.634180451737192,5.40070838970432,0.007222032970922498,auto_from_saved_psf_branch_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_systematics_branch_recommended.csv,current_mask_currentopd_detdist_ref,1,current_mask_currentopd_detsamp:0.00722203,0.0003907701618978564,auto_irsa_sigma_ebv_included,0.03824927485893891,0.02793028463946403,,sqrt(sigma_Pk_jensen_weighted^2=0.036957^2 + sigma_bkg^2=0.000389771^2 + sigma_PSF^2=0.00722203^2 + sigma_Pr_proxy^2=0.00668774^2 + sigma_ext^2=0.00039077^2),0.07204097580328295,0.07204097580328295,True,real_only,DET_DIST,-0.002838,-0.003939,0.02702,1322679.0,
NGC 1399,28.12486539458426,0.04,0.25,0.06996808153855354,0.09723124734540578,0.08470301288855166,0.12414241421324966,139.38058502318128,64.88728848062074,0.012220522948833645,0.0044248323572589595,0.0033581038366569996,0.0012063882382774742,0.002674594538961662,0.25,0.0016405862050326487,0.005744768065641909,0.0029443116896048812,auto_from_median_bkg_check_and_Imean_included,0.03152,abs(BKG-CHECK median),20.859864034572443,5.957143053111631,0.007136323429701719,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00713632,0.00026051344126523765,auto_irsa_sigma_ebv_included,0.0975742428459645,0.07044394821988226,,sqrt(sigma_Pk_jensen_weighted^2=0.0972312^2 + sigma_bkg^2=0.00294431^2 + sigma_PSF^2=0.00713632^2 + sigma_Pr_proxy^2=0.00267459^2 + sigma_ext^2=0.000260513^2),0.13332157150612467,0.13332157150612467,True,real_only,DET_DIST,-0.03152,-0.02412,0.09183,1334639.0,
NGC 1404,28.004211864812287,0.04,0.25,0.027961784443771096,0.03855117907181721,0.03302040590784015,0.0525689969128171,917.1390491075082,361.86003399209693,0.010497868813780854,0.004997533078058798,0.0028797098774964946,0.0013633138554194275,0.0024506844596170084,0.25,1.065215229171177e-05,3.966155179604125e-05,1.885961891888642e-05,auto_from_median_bkg_check_and_Imean_included,0.0001897,abs(BKG-CHECK median),19.335450001299154,5.193043355988283,0.007201490543319977,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00720149,0.0001953850809489282,auto_irsa_sigma_ebv_included,0.03929502842865158,0.02897873773408942,,sqrt(sigma_Pk_jensen_weighted^2=0.0385512^2 + sigma_bkg^2=1.88596e-05^2 + sigma_PSF^2=0.00720149^2 + sigma_Pr_proxy^2=0.00245068^2 + sigma_ext^2=0.000195385^2),0.10427204992982553,0.10427204992982553,True,real_only,DET_DIST,0.0001897,0.1875,0.5246,1334287.0,
NGC 4472,27.512608378685666,0.04,0.25,0.024110029838574853,0.03378689713694539,0.03981359054249324,0.03029698018313963,630.8662709364238,1089.4349765798797,0.017539872737537522,0.04392712234305421,0.004845915454873999,0.012471137978408067,0.009674827910373442,0.25,0.0004446364446038615,0.0011873861225669435,0.0009150060843310191,auto_from_median_bkg_check_and_Imean_included,0.01346,abs(BKG-CHECK median),32.86732226609187,12.307714431133164,0.0074212688805914695,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00742127,0.00013025672063261883,auto_irsa_sigma_ebv_included,0.03593168724097907,0.02703378014000223,,sqrt(sigma_Pk_jensen_weighted^2=0.0337869^2 + sigma_bkg^2=0.000915006^2 + sigma_PSF^2=0.00742127^2 + sigma_Pr_proxy^2=0.00967483^2 + sigma_ext^2=0.000130257^2),0.07410265622137402,0.07410265622137402,True,real_only,DET_DIST,-0.01346,0.5274,1.494,1338885.0,
NGC 4552,27.618028064201024,0.04,0.25,0.02385967838712843,0.03216343575297764,0.026874904829943095,0.051844119775292956,1384.5419854509346,372.0497263202084,0.016139466293553766,0.04087492864361054,0.004452664346228671,0.01156767537952896,0.005959638271908629,0.25,8.806868330886032e-05,0.00030124614537846504,0.00013322010688051285,auto_from_median_bkg_check_and_Imean_included,0.001334,abs(BKG-CHECK median),16.445937905848403,4.807935700978709,0.007287486386847064,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00728749,0.0009769254047446412,auto_irsa_sigma_ebv_included,0.03352735415223981,0.025668679937834657,,sqrt(sigma_Pk_jensen_weighted^2=0.0321634^2 + sigma_bkg^2=0.00013322^2 + sigma_PSF^2=0.00728749^2 + sigma_Pr_proxy^2=0.00595964^2 + sigma_ext^2=0.000976925^2),0.09094085158883658,0.09094085158883658,True,real_only,DET_DIST,0.001334,0.08091,0.2427,1339125.0,
NGC 4636,27.54826834900649,0.04,0.25,0.0305328436989763,0.04317807249965075,0.043589611418117666,0.04278164849254756,526.3007695193722,546.3676406962086,0.013238539882565431,0.0471046193438228,0.0036415999787134785,0.013417839899098003,0.008621164109913244,0.25,0.00010427790283209221,0.0003060433403712346,0.00020704787818742518,auto_from_median_bkg_check_and_Imean_included,0.001296,abs(BKG-CHECK median),13.493885887140099,4.597760956535397,0.0072840399920970356,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00728404,0.0003907701618978564,auto_irsa_sigma_ebv_included,0.04463096709847226,0.032555058342843335,,sqrt(sigma_Pk_jensen_weighted^2=0.0431781^2 + sigma_bkg^2=0.000207048^2 + sigma_PSF^2=0.00728404^2 + sigma_Pr_proxy^2=0.00862116^2 + sigma_ext^2=0.00039077^2),0.1292339382291292,0.1292339382291292,True,real_only,DET_DIST,0.001296,0.07506,0.2622,1329085.0,
NGC 4649,27.569379992743038,0.04,0.25,0.02843660822830097,0.03799171800825731,0.06520192703826301,0.031600339770441195,235.22264928520391,1001.420541468237,0.013958078876213155,0.023078666566017075,0.0038423294334946857,0.006412323846022092,0.005923483654378328,0.25,0.00032527141651734456,0.0010258441448263613,0.0008925877824398839,auto_from_median_bkg_check_and_Imean_included,0.009342,abs(BKG-CHECK median),31.183027803211807,9.88741581847921,0.007218490837566094,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00721849,0.0003907701618978564,auto_irsa_sigma_ebv_included,0.0391345668183953,0.029946358215555663,,sqrt(sigma_Pk_jensen_weighted^2=0.0379917^2 + sigma_bkg^2=0.000892588^2 + sigma_PSF^2=0.00721849^2 + sigma_Pr_proxy^2=0.00592348^2 + sigma_ext^2=0.00039077^2),0.13671798816689318,0.13671798816689318,True,real_only,DET_DIST,-0.009342,-0.02446,0.2056,1339181.0,
NGC 4697,26.740944905747984,0.04,0.25,0.030577234130467694,0.04218356611110617,0.03617193388172104,0.05723459399111107,764.2871245070174,305.2690584869862,0.01620605217689085,0.03292481798706015,0.004471337118810333,0.009241180931045898,0.005832729584996741,0.25,0.000802737926890292,0.00208186492757847,0.0011678219695932194,auto_from_median_bkg_check_and_Imean_included,0.01312,abs(BKG-CHECK median),17.74534194691596,6.842355052782231,0.007109727711490876,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00710973,0.0011723104856935693,auto_irsa_sigma_ebv_included,0.043206021946261546,0.031973025031113454,,sqrt(sigma_Pk_jensen_weighted^2=0.0421836^2 + sigma_bkg^2=0.00116782^2 + sigma_PSF^2=0.00710973^2 + sigma_Pr_proxy^2=0.00583273^2 + sigma_ext^2=0.00117231^2),0.07419800037892443,0.07419800037892443,True,filled_fallback,DET_DIST,0.01312,0.8517,1.58,1331002.0,isophote_real_only_failed;sersic_fit_warning
NGC 4486,27.599748087837057,0.04,0.25,0.03254159504340654,0.04513218025090884,0.03912491723752525,0.05861537909822802,653.2706342181284,291.0561924589929,0.013356512356021661,0.008551638087545999,0.003674490638168792,0.002341227097225544,0.0032635581105641114,0.25,0.00012123717427182369,0.00034984227826855165,0.000191696817338524,auto_from_median_bkg_check_and_Imean_included,0.003272,abs(BKG-CHECK median),29.302306683621133,10.154658492252183,0.006826010145143613,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00682601,0.0003907701618978564,auto_irsa_sigma_ebv_included,0.04576405105792499,0.03341242408148354,,sqrt(sigma_Pk_jensen_weighted^2=0.0451322^2 + sigma_bkg^2=0.000191697^2 + sigma_PSF^2=0.00682601^2 + sigma_Pr_proxy^2=0.00326356^2 + sigma_ext^2=0.00039077^2),0.11086655072814366,0.11086655072814366,True,real_only,DET_DIST,0.003272,0.2129,0.6464,1338463.0,
NGC 4374,27.698255826347992,0.04,0.25,0.016254949318503638,0.022213487448158698,0.018785730974644737,0.03242650297456559,2833.6343123926167,951.0421611287092,0.011210139292745138,0.0060495606797565,0.003077310603136979,0.0016520509456650577,0.0027191605646079272,0.25,0.0004655238357381215,0.0014625601964237574,0.0007160666818240189,auto_from_median_bkg_check_and_Imean_included,0.009292,abs(BKG-CHECK median),21.67163105325475,6.8979456977437685,0.0070493475107227255,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00704935,0.0011723104856935693,auto_irsa_sigma_ebv_included,0.023503472562160704,0.017977696604900725,,sqrt(sigma_Pk_jensen_weighted^2=0.0222135^2 + sigma_bkg^2=0.000716067^2 + sigma_PSF^2=0.00704935^2 + sigma_Pr_proxy^2=0.00271916^2 + sigma_ext^2=0.00117231^2),0.10687574307683612,0.10687574307683612,True,real_only,DET_DIST,-0.009292,0.1252,0.4417,1338927.0,
NGC 4406,27.487488983535293,0.04,0.25,0.012368282657221069,0.0174913417932684,0.017533903641210415,0.01744919021903426,3252.6907073222255,3284.3501056079845,0.018757851115164443,0.008671160737269808,0.005188851218412901,0.0023742356665253568,0.0037747277411962956,0.25,0.0002450939213423268,0.0006431932480240997,0.00044510759772071643,auto_from_median_bkg_check_and_Imean_included,0.003693,abs(BKG-CHECK median),16.359539976397304,6.233933295303399,0.007176726062823491,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4406/jw03055-o005_t005_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00717673,0.00026051344126523765,auto_irsa_sigma_ebv_included,0.019286445817115534,0.014798458379726953,,sqrt(sigma_Pk_jensen_weighted^2=0.0174913^2 + sigma_bkg^2=0.000445108^2 + sigma_PSF^2=0.00717673^2 + sigma_Pr_proxy^2=0.00377473^2 + sigma_ext^2=0.000260513^2),0.11733037909196753,0.11733037909196753,True,real_only,DET_DIST,-0.003693,0.08147,0.368,1339107.0,
NGC 4621,27.349976863588438,0.04,0.25,0.016535581209301042,0.020540626878741787,0.058403901550176586,0.01724103009607514,293.16780782522665,3364.136275929448,0.01440642564869116,0.05237852263744862,0.003967552730402838,0.015003157837215092,0.014118548823827392,0.25,2.7656195720499446e-05,8.186003734967396e-05,7.751508241504983e-05,auto_from_median_bkg_check_and_Imean_included,0.000379,abs(BKG-CHECK median),14.878909079252779,5.026799827192725,0.00759699838561545,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4621/jw03055-o009_t009_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.007597,0.0009117970444283317,auto_irsa_sigma_ebv_included,0.026073023230376663,0.02305017643597249,,sqrt(sigma_Pk_jensen_weighted^2=0.0205406^2 + sigma_bkg^2=7.75151e-05^2 + sigma_PSF^2=0.007597^2 + sigma_Pr_proxy^2=0.0141185^2 + sigma_ext^2=0.000911797^2),0.09866774128845002,0.09866774128845002,True,real_only,DET_DIST,-0.000379,0.04102,0.1624,1339091.0,truncated_file_warning;sersic_fit_warning
NGC 1549,27.67048994459887,0.04,0.25,0.012240992347904975,0.01730806422077635,0.017660256966473584,0.016982389561604173,3206.313347723498,3467.3876818381036,0.025863412268238545,0.021167527763733034,0.007206597984271716,0.005869837768510514,0.006512070931715674,0.25,0.001620714501483519,0.004855801815761039,0.003301536260430886,auto_from_median_bkg_check_and_Imean_included,0.02119,abs(BKG-CHECK median),14.195436739638945,4.7379920045643305,0.007262327242514743,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1549/jw03055-o012_t012_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00726233,0.00026051344126523765,auto_irsa_sigma_ebv_included,0.020141637490522123,0.015998698928055242,,sqrt(sigma_Pk_jensen_weighted^2=0.0173081^2 + sigma_bkg^2=0.00330154^2 + sigma_PSF^2=0.00726233^2 + sigma_Pr_proxy^2=0.00651207^2 + sigma_ext^2=0.000260513^2),0.18840338691475544,0.18840338691475544,True,real_only,DET_DIST,-0.02119,0.06966,0.2753,1337852.0,truncated_file_warning
NGC 3379,26.653557577800136,0.04,0.25,0.016261826665381222,0.0228198723951583,0.026490395442025232,0.020600178701788353,1425.0270794879254,2356.4488890035973,0.04163916508004932,0.06185303864985186,0.011793352622524005,0.017895939070089663,0.015596215095864285,0.25,0.00014121864169333204,0.0004933421222231345,0.00036064645014705993,auto_from_median_bkg_check_and_Imean_included,0.00297,abs(BKG-CHECK median),22.834354512021218,6.5363089484444385,0.007624654685542964,auto_from_fast_detdist_detsamp_rerun_included,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 3379/jw03055-o013_t013_nircam_clear-f150w_i2d_jensen_fast_psf_systematic.csv,fast_detdist,1,fast_detsamp:0.00762465,0.0003907701618978564,auto_irsa_sigma_ebv_included,0.028677632881794455,0.02379300439344671,,sqrt(sigma_Pk_jensen_weighted^2=0.0228199^2 + sigma_bkg^2=0.000360646^2 + sigma_PSF^2=0.00762465^2 + sigma_Pr_proxy^2=0.0155962^2 + sigma_ext^2=0.00039077^2),0.10267545506939157,0.10267545506939157,True,real_only,DET_DIST,0.00297,0.3254,0.8411,1338434.0,truncated_file_warning
