region,role,shape,rin_px,rout_px,rin_arcsec,rout_arcsec,resid_source,model_source,region_pixels,usable_pixels,usable_fraction,kmin,kmax,status,measurement_ok,failure_reason,region_name,region_role,n_use,Imean,P0,P1,P_fluc,Pr,Pr_over_P0,frac,corr,n_fit,fit_resid_std,P0_fit_sigma,mbar_fit_sigma_raw,mbar_fit_sigma,Pf_spec_raw,Pf_spec,Pf_spec_sigma_formal_raw,Pf_spec_sigma_formal,mbar_spec_raw,mbar_spec,n_detected_sources,n_detected_sources_total,m_lim,m_lim_method,lf_model,lf_gamma,lf_phi_mlim,lf_fit_method,lf_fit_rmse,lf_n_fit_bins,lf_n_fit_sources,lf_fit_mbright,lf_fit_mfaint,pr_note,branch,psf_ext,opd_path
elliptical_chosen,diagnostic,ellipse,640.0,710.0,19.984962305884714,22.170817558090853,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,185494,185309,0.9990026631589162,0.01,0.25,ok,True,,elliptical_chosen,diagnostic,185309,9.552750076794581,11.799212062841889,-0.9705040535038765,11.477101487367014,0.32211057547487487,0.027299329290746997,1.0896232544701523,0.9926344243213564,27,0.19518399986453108,0.2880121653945988,0.02650221334392951,0.027246011174851145,1.2351639023305325,1.2014447562327673,0.030149659844470784,0.030149659844470784,27.77026303836964,27.800315000029688,724,724,25.875,region_turnover_hist,combined_power_law,0.5142283187121228,0.0042323370847551015,local_histogram,0.06167724430668084,6.0,545.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
elliptical_chosen,diagnostic,ellipse,640.0,710.0,19.984962305884714,22.170817558090853,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,185494,185309,0.9990026631589162,0.03,0.25,ok,True,,elliptical_chosen,diagnostic,185309,9.552750076794581,11.199784125958113,-0.8473368478393798,10.877673550483237,0.32211057547487487,0.028760427152190234,1.0818489411320489,0.9934407739301062,25,0.14633531321763116,0.26880152065329443,0.02605831858766787,0.02682995968879362,1.1724146487580038,1.1386955026602386,0.028138653109565138,0.028138653109565138,27.82687142541476,27.85855550220885,724,724,25.875,region_turnover_hist,combined_power_law,0.5142283187121228,0.0042323370847551015,local_histogram,0.06167724430668084,6.0,545.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
elliptical_chosen,diagnostic,ellipse,640.0,710.0,19.984962305884714,22.170817558090853,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,185494,185309,0.9990026631589162,0.04,0.25,ok,True,,elliptical_chosen,diagnostic,185309,9.552750076794581,10.760101291776921,-0.7634585909050662,10.437990716302046,0.32211057547487487,0.029935645282543766,1.0763714992873037,0.995962449378474,24,0.10192610517957387,0.20677461844573108,0.02086436580696017,0.021508228506176983,1.1263878155794342,1.092668669481669,0.02164555931888403,0.021645559318884032,27.87035465579122,27.903353289271017,724,724,25.875,region_turnover_hist,combined_power_law,0.5142283187121228,0.0042323370847551015,local_histogram,0.06167724430668084,6.0,545.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.01,0.25,ok,True,,circular_inner_lit,science,649088,14.634180451737192,17.127224041575964,-1.4749393637468682,16.923129491155613,0.20409455042034952,0.011916382358572203,1.0942315702854593,0.9922259815468171,27,0.29639534516664623,0.42963382201532124,0.02723552831552277,0.027563991376088632,1.1703575815578267,1.1564111531197296,0.029358242740837624,0.029358242740837617,27.82877808358658,27.841793836632608,4108,4108,25.875,region_turnover_hist,combined_power_law,0.2779583027013727,0.0048988334864107815,local_histogram,0.028310146781819697,6.0,3061.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.03,0.25,ok,True,,circular_inner_lit,science,649088,14.634180451737192,15.71027239241181,-1.1828564262773484,15.50617784199146,0.20409455042034952,0.012991152878986927,1.0814223554302267,0.9972496370940549,25,0.13465881479078054,0.2434597023169024,0.01682548886502901,0.01704694837752159,1.0735327778841812,1.0595863494460842,0.01663637421445092,0.016636374214450925,27.922536242743117,27.936733628955,4108,4108,25.875,region_turnover_hist,combined_power_law,0.2779583027013727,0.0048988334864107815,local_histogram,0.028310146781819697,6.0,3061.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.04,0.25,ok,True,,circular_inner_lit,science,649088,14.634180451737192,15.372470635096501,-1.117659154792399,15.168376084676153,0.20409455042034952,0.013276626462007115,1.0784057478653204,0.9977865601775404,24,0.10904082542360684,0.2184253724915095,0.015427080043358528,0.015634655524621077,1.0504497116045652,1.0365032831664684,0.014925698997075076,0.014925698997075076,27.94613635024191,27.96064781047407,4108,4108,25.875,region_turnover_hist,combined_power_law,0.2779583027013727,0.0048988334864107815,local_histogram,0.028310146781819697,6.0,3061.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.01,0.25,ok,True,,circular_outer_lit,science,2054404,5.40070838970432,7.5804185629270275,-0.715194127088946,7.3502763854411155,0.23014217748591184,0.030360088374466625,1.1041763650661536,0.9860960173399815,27,0.17640612863675736,0.2554898823632917,0.036593575002289956,0.03773934484704058,1.4035970868891965,1.3609837552890967,0.0473067353257485,0.04730673532574851,27.631468370210204,27.664942161936658,3285,3285,25.875,region_turnover_hist,combined_power_law,0.6276640490457928,0.001823594102229501,local_histogram,0.03502824205053007,6.0,2283.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.03,0.25,ok,True,,circular_outer_lit,science,2054404,5.40070838970432,6.777505916303143,-0.5483694884096717,6.547363738817231,0.23014217748591184,0.03395676526556913,1.088032987358268,0.9962866825351845,25,0.06739618033832248,0.12212769407014787,0.01956449181942011,0.020252190705314,1.254929062495485,1.2123157308953851,0.02261327315930756,0.022613273159307563,27.753026572913164,27.790535164259484,3285,3285,25.875,region_turnover_hist,combined_power_law,0.6276640490457928,0.001823594102229501,local_histogram,0.03502824205053007,6.0,2283.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.04,0.25,ok,True,,circular_outer_lit,science,2054404,5.40070838970432,6.629649077970279,-0.5199383703784068,6.399506900484367,0.23014217748591184,0.03471408136075458,1.0851003255738993,0.9966386348715405,24,0.05800281597079782,0.1161847324232728,0.019027548660343816,0.019711826613162217,1.2275517579524862,1.184938426352386,0.021512869060799956,0.021512869060799952,27.776974984211474,27.815335057081487,3285,3285,25.875,region_turnover_hist,combined_power_law,0.6276640490457928,0.001823594102229501,local_histogram,0.03502824205053007,6.0,2283.0,24.375,25.875,local combined contaminant LF,current_mask_currentopd_detdist_ref,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_nomaskbranch,model_full,649924,649923,0.9999984613585589,0.01,0.25,ok,True,,,,649923,14.634719941788651,18.254791660481683,-1.6936931141513873,18.050697110061332,0.20409455042034952,0.011180327566387802,1.1022693699583526,0.9855886948411116,27,0.43292832954266064,0.6266246370847199,0.03726961490057081,0.037691012769644344,1.2473618718425976,1.2334159575215746,0.042817671918369084,0.042817671918369084,27.75959335361252,27.771800608460882,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_nomaskbranch,model_full,649924,649923,0.9999984613585589,0.03,0.25,ok,True,,,,649923,14.634719941788651,16.231223443638715,-1.2749485460157801,16.027128893218364,0.20409455042034952,0.012574193875714129,1.0852450596651184,0.9956480762664575,25,0.1754750069505558,0.31678462581541494,0.021190302662819314,0.021460146708128593,1.109090130060592,1.095144215739569,0.021646100989664557,0.021646100989664557,27.887157414502806,27.90089623148148,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_nomaskbranch,model_full,649924,649923,0.9999984613585589,0.04,0.25,ok,True,,,,649923,14.634719941788651,15.74861301266572,-1.1817735640768419,15.544518462245371,0.20409455042034952,0.012959525404313879,1.0811276576671078,0.9968590472560203,24,0.133327048206575,0.2667482767599115,0.01839008053611793,0.01863153640548623,1.076113043181401,1.062167128860378,0.018227084482718814,0.01822708448271881,27.91992977727885,27.93409237297771,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_nomaskbranch,model_full,2599650,2058229,0.79173311791972,0.01,0.25,ok,True,,,,2058229,5.402597732423064,8.86755602905191,-0.9768017747826621,8.637413851565999,0.23014217748591184,0.0259532814601813,1.123790672387772,0.9523862521851568,27,0.39243396403129194,0.5677666426562153,0.06951687677712172,0.07136914015924574,1.6413504147892228,1.5987519854994128,0.1050914154220348,0.10509141542203479,27.46157124255497,27.49012177356824,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_nomaskbranch,model_full,2599650,2058229,0.79173311791972,0.03,0.25,ok,True,,,,2058229,5.402597732423064,7.0838545687509376,-0.6054255169377871,6.8537123912650255,0.23014217748591184,0.032488269663403284,1.0934525194450255,0.9925773912057961,25,0.1000202148169768,0.1809786002614612,0.027738432047591362,0.028669866398354858,1.3111941550336066,1.2685957257437965,0.03349844079179524,0.03349844079179524,27.705407004183908,27.74126640615919,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_nomaskbranch,model_full,2599650,2058229,0.79173311791972,0.04,0.25,ok,True,,,,2058229,5.402597732423064,6.796527616492439,-0.5501834935386236,6.566385439006527,0.23014217748591184,0.033861729175858765,1.0880808810255638,0.9950707260887837,24,0.07221703117880993,0.14440838783214568,0.0230690469880015,0.02387758324522534,1.258011044521021,1.215412615231211,0.02672943553903625,0.026729435539036246,27.750363380793342,27.787765166310972,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,no_extra_mask_currentopd_detdist,DET_DIST,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.01,0.25,ok,True,,,,649088,14.634180451737192,17.2323048947548,-1.5274078893527194,17.02821034433445,0.20409455042034952,0.011843717463615223,1.0972567912306161,0.9922714843853581,27,0.2955300173189255,0.43098798052892506,0.02715476874009337,0.027480236901791404,1.1775380897882253,1.1635916613501283,0.029450776690249397,0.029450776690249394,27.822137105322128,27.83507301491666,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.03,0.25,ok,True,,,,649088,14.634180451737192,15.811802726802249,-1.2319922931222616,15.6077081763819,0.20409455042034952,0.012907734427674917,1.084499884187541,0.9972234542370649,25,0.13529737103184092,0.2462015210153346,0.01690571971150114,0.017126787739238387,1.080470667896217,1.0665242394581202,0.01682373138880548,0.016823731388805482,27.915542062269818,27.929647689825366,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_inner_lit,science,circle,262.5974430011654,525.1948860023308,8.2,16.4,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,649924,649088,0.998713695755196,0.04,0.25,ok,True,,,,649088,14.634180451737192,15.472613108480813,-1.1658876982732114,15.268518558060464,0.20409455042034952,0.01319069694235951,1.081492281765705,0.9977459101116881,24,0.11003642390915906,0.22186464950772547,0.015568571438943064,0.015776676801387723,1.0572927646689017,1.0433463362308049,0.015160715712056726,0.015160715712056728,27.939086365102387,27.953503277327613,4108,4108,25.875,region_turnover_hist,,0.2779583027013727,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.01,0.25,ok,True,,,,2054404,5.40070838970432,7.626738783888456,-0.7383518616570135,7.396596606402544,0.23014217748591184,0.030175699470931003,1.107187919318828,0.9861517346194626,27,0.17605478807897065,0.25652460376098973,0.036518629732397744,0.037654892450597194,1.4121737804669745,1.3695604488668744,0.047498325265999786,0.047498325265999786,27.62485415621928,27.65812150153886,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.03,0.25,ok,True,,,,2054404,5.40070838970432,6.820873813845256,-0.5694470453104264,6.590731636359344,0.23014217748591184,0.03374086425976111,1.0910907327870514,0.996249236407507,25,0.0677345135595154,0.12353081964203533,0.01966344590872785,0.020350075027920883,1.2629591012261054,1.2203457696260056,0.022873077146236816,0.022873077146236816,27.746101298423383,27.783367265692636,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
circular_outer_lit,science,circle,525.1948860023308,1050.3897720046616,16.4,32.8,resid_full_clip_3p5sigma_plus_compactresidmask,model_full,2599650,2054404,0.7902617660069625,0.04,0.25,ok,True,,,,2054404,5.40070838970432,6.672462328951696,-0.5406289847398806,6.442320151465784,0.23014217748591184,0.03449134159773806,1.0881675926907262,0.9965823738336895,24,0.0584853903202066,0.11791457306300084,0.01918693800452095,0.019872362446,1.2354790978294243,1.1928657662293243,0.021833167902156714,0.02183316790215671,27.769986009947033,27.808095578046732,3285,3285,25.875,region_turnover_hist,,0.6276640490457928,,local_histogram,,,,,,,current_mask_currentopd_detsamp,DET_SAMP,/Users/zuha/data/stpsf-data/MAST_JWST_WSS_OPDs/R2023111002-NRCA3_FP1-1.fits
